1 2020-05-11 01:16:45 Start writing StarsInMoviesRecord.
2 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Scott Sunderland -> Actor doesn't exist.
3 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Iris Hoey -> Actor doesn't exist.
4 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Ronald Culver -> Actor doesn't exist.
5 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Edith Evans -> Actor doesn't exist.
6 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Margaret Rurtherford -> Actor doesn't exist.
7 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Doroty Tutin -> Actor doesn't exist.
8 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Martin Miller -> Actor doesn't exist.
9 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Alastair Sim -> Actor doesn't exist.
10 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Vittorio deSics -> Actor doesn't exist.
11 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Margaret Rutherford -> Actor doesn't exist.
12 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Louis Jordon -> Actor doesn't exist.
13 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Linda Chistian -> Actor doesn't exist.
14 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | David Frost -> Actor doesn't exist.
15 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Joan Benham -> Actor doesn't exist.
16 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Lance Percival -> Actor doesn't exist.
17 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Martin Miller -> Actor doesn't exist.
18 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Tony Haygarth -> Actor doesn't exist.
19 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Liz Smith -> Actor doesn't exist.
20 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | John Normington -> Actor doesn't exist.
21 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | sa -> Actor doesn't exist.
22 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | sa -> Actor doesn't exist.
23 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | sa -> Actor doesn't exist.
24 2020-05-11 01:16:45 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Vicki Jenson -> Actor doesn't exist.
25 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Gibson Frazier -> Actor doesn't exist.
